shots_ontarget_win,shots_ontarget_lost,shots_offtarget_win,shots_offtarget_lost,shotsblocked_win,shotsblocked_lost,chances2score_win,chances2score_lost,drib_success_win,drib_success_lost,drib_unsuccess_win,drib_unsuccess_lost,keypasses_win,keypasses_lost,owngoals_win,owngoals_lost,dangmistakes_win,dangmistakes_lost,ycards_win,ycards_lost,rcards_win,rcards_lost,interceptions_win,interceptions_lost,Predicted_Value,fixture_id
1.0000001,3.0,4.0,4.0,3.0,2.0,4.0,5.0,2.0,1.9999998,1.0000002,4.0,2.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,1.0,-6.426509e-08,4.982384e-10,-1.5483717e-09,10.0,20.0,0.9777543,1711159
2.0,1.5796458e-07,12.0,5.0,6.0,2.0,6.0,3.0,18.0,6.0,6.0,3.0,3.0,3.0,-1.8396495e-10,-2.7594743e-10,1.0,1.0,2.0,5.0,4.982384e-10,-1.5483717e-09,20.0,24.0,0.99512285,1711169
7.0,3.0,3.0,5.0,2.0,2.0,6.0,6.0,12.0,9.0,3.0,4.0,1.923047e-07,0.99999994,-1.8396495e-10,-2.7594743e-10,2.0,2.0,-4.2189296e-08,3.0,4.982384e-10,-1.5483717e-09,9.0,16.0,0.9904625,1711033
1.0000001,5.0,3.0,5.0,1.393228e-07,0.99999994,4.0,4.0,13.0,10.0,4.0,4.0,2.0,0.99999994,-1.8396495e-10,-2.7594743e-10,3.0,1.1283184e-08,1.0,2.0,4.982384e-10,-1.5483717e-09,17.0,23.0,0.0031854562,1710939
6.0,1.5796458e-07,14.999999,10.0,6.9999995,6.0,10.0,6.0,3.0,12.0,3.0,5.0,5.0,4.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,-4.2189296e-08,2.0,4.982384e-10,-1.5483717e-09,15.0,21.0,0.9945261,1711015
4.0,1.5796458e-07,7.0,3.0,1.0,2.0,8.0,2.0,3.0,3.0,4.0,4.0,3.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,-4.2189296e-08,1.0,4.982384e-10,-1.5483717e-09,16.0,28.0,0.9925275,1711099
4.0,3.0,9.0,6.0,5.0,2.0,6.0,6.0,4.0,10.0,2.0,6.0,0.99999994,2.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,25.0,29.0,0.019651208,1710899
2.0,3.0,5.0,11.0,3.0,4.0,3.0000002,10.0,5.0,14.0,4.0,4.0,0.99999994,4.0,-1.8396495e-10,-2.7594743e-10,1.0,1.0,1.0,2.0,4.982384e-10,-1.5483717e-09,37.0,19.0,0.007027536,1710973
3.0,4.0,2.0000002,8.0,2.0,-6.181222e-08,0.9999997,11.0,9.0,8.0,6.0,0.99999994,0.99999994,3.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,2.0,2.0,4.982384e-10,-1.5483717e-09,32.0,14.0,0.017384859,1710901
11.0,5.0,2.0000002,4.0,2.0,2.0,8.0,5.0,3.0,4.0,2.0,3.0,0.99999994,2.0,-1.8396495e-10,-2.7594743e-10,2.0,1.0,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,12.999999,23.0,0.9929436,1711032
