fixture_id,goals_win,assists_win,shots_ontarget_win,shots_offtarget_win,shotsblocked_win,chances2score_win,drib_success_win,drib_unsuccess_win,keypasses_win,passes_acc_win,passes_inacc_win,crosses_acc_win,crosses_inacc_win,lballs_acc_win,lballs_inacc_win,grduels_w_win,grduels_l_win,aerials_w_win,aerials_l_win,poss_lost_win,fouls_win,wasfouled_win,clearances_win,stop_shots_win,interceptions_win,tackles_win,dribbled_past_win,tballs_acc_win,tballs_inacc_win,ycards_win,rcards_win,dangmistakes_win,countattack_win,offsides_win,goals_ag_otb_win,goals_ag_itb_win,saves_itb_win,saves_otb_win,saved_pen_win,missed_penalties_win,owngoals_win,p1,p2,goals_lost,assists_lost,shots_ontarget_lost,shots_offtarget_lost,shotsblocked_lost,chances2score_lost,drib_success_lost,drib_unsuccess_lost,keypasses_lost,passes_acc_lost,passes_inacc_lost,crosses_acc_lost,crosses_inacc_lost,lballs_acc_lost,lballs_inacc_lost,grduels_w_lost,grduels_l_lost,aerials_w_lost,aerials_l_lost,poss_lost_lost,fouls_lost,wasfouled_lost,clearances_lost,stop_shots_lost,interceptions_lost,tackles_lost,dribbled_past_lost,tballs_acc_lost,tballs_inacc_lost,ycards_lost,rcards_lost,dangmistakes_lost,countattack_lost,offsides_lost,goals_ag_otb_lost,goals_ag_itb_lost,saves_itb_lost,saves_otb_lost,saved_pen_lost,missed_penalties_lost,owngoals_lost
1710938,0,0,1,2,1,1,1,3,0,269,53,0,10,22,13,41,53,11,19,103,7,8,34,5,34,16,5,0,1,0,0,0,3,0,0,1,6,3,0,0,0,0,1,0,0,5,8,2,9,1,0,3,259,39,9,21,13,9,33,23,14,5,86,5,4,3,0,16,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1711104,2,0,5,10,6,12,11,2,7,223,75,3,8,21,16,63,50,30,19,156,12,11,20,1,30,26,6,6,7,2,0,0,32,2,0,0,0,0,0,0,0,1,0,0,0,2,4,1,4,6,12,2,303,78,3,14,28,24,41,63,21,27,127,10,10,12,5,33,15,8,0,5,3,0,0,10,1,0,0,0,0,0,0,0
1711002,2,1,7,10,4,12,10,5,4,251,81,9,9,19,27,44,30,26,24,139,7,11,9,1,27,7,3,0,5,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,1,6,2,1,3,5,0,363,87,4,11,39,41,30,60,25,33,132,12,6,13,4,37,20,14,1,7,0,0,2,42,5,0,2,4,1,0,0,0
1711179,2,1,4,3,1,4,4,3,0,269,48,1,3,18,18,42,39,20,11,86,7,10,20,8,23,23,5,2,5,2,0,0,8,5,0,0,0,0,0,1,0,1,0,1,0,10,12,9,11,5,3,3,418,49,13,16,24,11,45,44,12,18,109,11,9,1,2,16,16,4,4,5,1,0,0,0,1,0,0,0,0,0,0,0
1710907,0,0,3,11,4,7,6,2,2,373,56,6,7,24,17,32,24,14,24,95,4,4,6,1,16,8,5,4,9,0,0,0,4,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2,0,0,208,56,2,5,21,27,20,26,28,18,93,4,4,18,3,20,5,2,0,0,0,0,0,2,1,0,0,3,0,0,0,0
1710969,1,1,3,6,2,6,5,3,2,310,55,5,10,38,24,39,45,14,16,97,13,7,14,2,18,16,4,0,4,1,0,0,0,3,1,3,3,3,0,0,0,0,1,4,2,9,4,2,7,4,5,0,291,64,4,6,30,22,47,41,19,14,120,8,12,9,2,11,16,4,0,1,0,0,0,15,1,0,1,1,2,0,0,0
1710962,0,0,6,7,0,9,4,2,2,230,93,5,7,39,40,29,22,44,28,130,14,7,21,2,36,8,1,1,2,0,0,0,4,2,0,1,0,1,0,0,0,0,1,1,0,2,4,2,1,3,1,0,258,90,5,4,55,40,23,23,25,42,126,7,10,11,1,34,9,5,1,2,0,0,1,4,3,0,0,1,5,0,0,0
1710822,1,0,3,6,4,5,10,4,2,133,52,4,5,21,18,30,38,9,18,82,11,15,17,3,23,8,12,2,4,4,0,0,24,0,0,0,0,0,0,0,0,0,1,2,2,7,7,3,7,13,5,2,429,58,11,17,23,16,37,29,17,11,120,13,10,11,4,18,5,10,2,8,4,0,2,25,3,0,0,0,0,0,0,0
1711103,1,1,3,7,5,13,10,3,7,225,30,7,8,15,11,32,22,20,11,71,6,5,6,0,8,6,0,3,7,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,1,3,1,0,232,56,0,5,33,25,24,33,19,26,87,9,8,14,5,20,15,9,0,3,1,0,1,0,3,0,2,2,2,0,0,1
1710898,0,0,0,0,0,1,4,2,0,132,64,0,4,12,22,35,48,12,21,105,8,9,24,2,28,15,5,0,2,1,0,1,11,1,0,0,0,0,0,0,0,0,1,3,1,7,7,2,9,8,2,6,650,75,5,12,19,23,49,30,21,13,126,10,8,8,0,29,11,3,5,23,0,0,0,5,0,0,0,0,0,0,1,0
1711061,3,2,4,6,2,9,11,4,3,370,62,4,9,53,22,38,39,23,33,108,11,12,19,0,23,11,4,0,5,1,0,0,10,2,0,2,1,0,0,0,0,1,0,1,2,1,2,0,4,2,5,0,186,54,2,14,45,25,24,34,19,17,90,11,4,12,2,15,7,10,4,6,2,0,1,7,1,1,2,2,0,0,0,0
